name,Movement,Case material,Year of production,Condition,Reference number,Scope of delivery,Location,Case area(mm2),price($)
25,2,7,2003,6,280,2,49,750.0,15033.0
12,1,9,2010,5,32,2,247,1519.56,23895.0
24,0,8,2017,3,641,2,177,1385.4423602330987,54342.0
18,0,5,1995,6,680,2,228,1288.2493375126646,155850.0
6,0,8,2024,3,696,2,80,1398.6684653047118,37829.0
21,0,8,2005,1,766,2,175,1650.2,68724.0
1,0,9,2008,1,300,2,259,1075.2100856911068,38043.0
27,0,8,2015,3,373,2,259,1244.1021067480938,120000.0
1,0,5,2014,1,545,3,259,1194.5906065275187,37829.0
6,0,3,2005,6,425,0,66,1134.1149479459152,88081.0
25,2,7,2002,6,293,0,4,706.8583470577034,11637.0
1,0,8,2012,6,316,2,70,1320.2543126711105,45447.0
26,1,5,2022,6,798,0,28,1182.3698111050544,10913.0
27,0,3,2022,3,566,2,259,1164.1564276958677,68266.0
4,0,7,2005,6,386,2,259,1134.1149479459152,51903.0
0,1,4,1935,6,1,1,28,1520.53084433746,13340.0
6,0,8,2022,3,311,2,78,1046.3467031862506,74081.0
4,0,7,2016,6,424,2,259,1256.6370614359173,50077.0
4,0,7,2023,3,522,2,159,1307.4051987179282,93873.0
1,0,5,2022,6,540,2,233,1256.6370614359173,58000.0
4,0,5,2024,3,631,2,247,995.3822163633902,164000.0
0,2,9,1989,6,798,0,173,510.70515574919074,10219.0
18,0,5,2022,6,638,2,228,1520.0,106497.0
26,1,9,2012,6,798,0,222,891.0,8500.0
4,0,8,2022,5,498,2,247,1398.6684653047118,84995.0
6,0,8,2023,5,656,2,17,1385.4423602330987,81290.0
18,0,5,2023,5,679,2,219,1520.0,169995.0
6,1,8,2007,6,528,2,118,1017.8760197630929,17806.0
4,0,5,1995,5,545,2,247,1968.0,118690.0
9,0,9,1996,6,421,3,80,989.7980354216342,30211.0
18,0,7,2023,3,416,2,247,1288.2493375126646,152950.0
27,0,8,2019,3,744,2,247,1017.8760197630929,49500.0
2,0,3,2019,6,667,0,259,973.1397403759745,124941.0
6,1,9,2005,6,462,0,259,962.1127501618741,19933.0
4,0,7,2000,1,386,2,175,1134.1149479459152,45065.0
18,0,5,2022,5,638,2,247,1520.0,124750.0
6,0,5,2022,6,673,2,259,1134.1149479459152,29470.0
4,0,7,2014,6,524,2,96,1256.6370614359173,58462.0
1,0,8,2017,6,593,2,208,1164.1564276958677,48216.0
0,1,8,2019,6,765,2,228,1520.53084433746,14385.0
6,1,7,1911,6,598,2,133,855.2985999398212,12980.0
19,0,7,2016,6,413,0,158,1017.8760197630929,32293.0
4,0,5,2019,6,545,2,208,1256.6370614359173,78134.0
0,1,3,1960,1,773,0,176,1288.2493375126646,76611.0
6,1,7,2024,6,339,0,133,855.2985999398212,12456.0
8,1,3,2018,6,435,2,177,1219.2206929316628,120000.0
