name,Movement,Case material,Year of production,Condition,Reference number,Scope of delivery,Location,Case area(mm2),price($)
12,1,9,2010,5,955,2,165,706.8583470577034,12238.0
17,0,7,2020,3,1615,2,825,973.1397403759745,81860.0
20,0,5,2024,3,1235,2,748,1339.6457933253935,121745.0
2,0,8,2020,4,1473,2,825,1288.2493375126646,61445.0
6,0,8,2001,5,987,1,86,1075.2100856911068,21046.0
12,0,5,1992,5,675,2,86,1385.4423602330987,54008.0
2,0,5,2022,3,1451,2,825,1385.4423602330987,99999.0
6,0,9,1965,5,156,0,555,962.1127501618741,10214.0
6,0,8,2023,4,1212,2,646,1256.6370614359173,45551.0
17,0,8,2023,3,1443,2,844,1320.2543126711105,165000.0
9,1,8,2022,5,1164,2,102,1320.2543126711105,72270.0
24,2,7,2022,5,614,3,716,750.0,9300.0
26,0,5,2016,5,1051,2,825,1225.4174844408687,119900.0
4,2,7,2010,5,910,2,349,754.7676350249478,36747.0
6,1,9,1955,5,17,0,499,962.1127501618741,15590.0
6,1,5,2020,4,1179,2,825,1075.2100856911068,28820.0
1,0,5,2020,4,1323,2,507,1164.1564276958677,64586.0
24,2,5,2011,1,1783,0,825,346.3605900582747,19995.0
4,0,8,2021,3,1494,2,228,1385.4423602330987,133626.0
6,1,8,2012,5,1174,2,525,1075.2100856911068,27789.0
8,1,5,1914,5,1662,2,86,1134.1149479459152,62248.0
1,0,8,2010,5,659,0,254,1134.1149479459152,42131.0
17,0,7,2010,5,335,1,825,1075.2100856911068,48000.0
27,0,7,2023,5,1463,2,545,1225.4174844408687,61965.0
24,2,5,2007,5,597,2,499,380.132711084365,20601.0
26,0,5,2001,5,969,2,454,1075.2100856911068,83517.0
27,0,8,2000,1,1457,2,396,1225.4174844408687,51790.0
2,0,3,2010,5,1479,2,33,1320.2543126711105,70043.0
2,0,5,2016,3,1452,2,745,1385.4423602330987,77499.0
6,1,5,2022,5,646,3,179,962.1127501618741,24387.0
4,0,7,2023,3,1144,2,249,1256.6370614359173,64861.0
2,0,3,2016,5,1449,2,840,1385.4423602330987,66950.0
17,2,8,2016,4,1580,2,827,1017.8760197630929,35450.0
4,0,7,2015,5,1144,2,745,1256.6370614359173,57000.0
20,0,5,2012,3,1661,2,610,967.6183912872903,71193.0
1,0,8,2022,5,1317,2,251,1134.1149479459152,33000.0
17,0,7,2021,4,1615,2,825,973.1397403759745,72000.0
6,0,7,2023,3,1207,2,825,1256.6370614359173,48500.0
4,2,7,2024,4,1246,2,745,1182.3698111050544,59575.0
6,1,9,1945,5,1701,1,128,754.7676350249478,21046.0
1,0,8,2021,5,1197,2,184,1256.6370614359173,54563.0
6,0,9,2018,4,701,1,748,855.2985999398212,18900.0
24,2,7,2015,5,614,0,304,750.0,7071.0
6,1,9,1990,5,515,0,780,490.8738521234052,10600.0
1,0,8,2022,4,1197,2,293,1256.6370614359173,60132.0
6,0,8,1967,5,945,0,254,1075.2100856911068,22999.0
26,0,8,2015,4,1355,2,858,1244.1021067480938,132000.0
4,2,7,2007,5,855,0,255,1385.4423602330987,36121.0
6,0,9,1998,5,345,2,369,855.2985999398212,15478.0
17,0,5,2023,4,1619,2,133,973.1397403759745,139195.0
20,0,9,2022,5,1297,2,251,1194.5906065275187,65000.0
4,0,7,2023,3,1127,2,825,1256.6370614359173,85500.0
20,0,5,2001,5,819,1,42,1017.8760197630929,46625.0
9,1,8,2023,4,680,2,825,855.2985999398212,58225.0
17,0,7,2021,5,1513,2,825,1782.0,115000.0
6,0,9,1966,5,178,0,209,907.9202768874502,15033.0
2,0,3,2020,4,1481,2,823,1288.2493375126646,77500.0
17,0,1,2020,4,1519,2,620,1288.2493375126646,117234.0
6,0,8,2024,3,1547,2,745,1256.6370614359173,33499.0
8,1,9,2019,5,1155,1,767,1194.5906065275187,47260.0
4,0,8,2023,4,1494,2,825,1398.6684653047118,126380.0
4,0,5,2023,3,1496,2,330,1385.4423602330987,141422.0
0,0,9,1937,5,1077,3,250,1056.0,74870.0
4,0,8,2024,3,1494,2,581,1398.6684653047118,139189.0
17,0,5,2021,5,1525,2,274,1288.2493375126646,136962.0
4,0,7,2018,4,1144,2,825,1256.6370614359173,125000.0
11,0,3,2024,3,1435,2,507,1362.75,72214.0
24,0,7,2022,4,1680,2,670,1017.8760197630929,22808.0
17,0,8,2023,4,1442,2,691,1256.6370614359173,157500.0
2,0,3,2018,4,1449,2,620,1385.4423602330987,71618.0
6,1,9,2023,5,549,0,575,660.519855417254,16000.0
2,0,3,2022,5,1480,0,825,1288.2493375126646,59500.0
17,0,7,2013,5,1393,2,590,1256.6370614359173,127447.0
1,0,8,2024,4,1197,2,745,1256.6370614359173,62248.0
0,0,5,2022,1,210,0,518,572.5552611167398,8352.0
24,2,7,2006,5,614,3,499,750.0,8574.0
6,0,9,1958,5,94,0,825,1017.8760197630929,19500.0
17,0,1,2021,4,1519,2,825,1559.25,135000.0
24,2,7,2011,5,614,2,646,750.0,11723.0
19,1,9,1997,5,584,0,293,800.0,11136.0
17,0,7,2022,3,1430,2,850,1288.2493375126646,85000.0
4,0,5,2012,5,1150,1,401,1398.6684653047118,74747.0
17,0,7,2008,5,1392,2,814,1256.6370614359173,114999.0
6,1,8,2006,5,312,2,406,1520.0,15753.0
8,1,9,1938,5,6,2,316,1386.0,71825.0
17,0,5,2010,5,1524,2,646,1288.2493375126646,119906.0
8,1,8,2014,5,1152,2,33,1194.5906065275187,65811.0
23,0,8,2018,5,1348,2,787,1385.4423602330987,40995.0
1,0,8,2012,5,1096,2,179,1194.5906065275187,41480.0
6,0,8,1972,1,212,0,379,750.0,12806.0
6,0,7,2023,5,1207,2,64,1256.6370614359173,41703.0
17,0,7,2016,3,1427,2,547,1288.2493375126646,140309.0
17,0,7,2020,4,1530,2,627,1288.2493375126646,114686.0
26,0,8,2022,5,1043,2,815,1194.5906065275187,158999.0
20,0,8,2009,5,1079,2,816,1075.2100856911068,54500.0
11,1,9,2023,1,472,0,209,644.0,6336.0
11,0,9,1995,5,288,0,646,1103.6000000000001,20853.0
4,0,7,2023,4,1127,2,507,1307.4051987179282,100220.0
4,0,7,1945,5,1127,0,825,1307.4051987179282,72000.0
17,0,7,2017,1,145,0,825,855.2985999398212,79995.0
2,0,5,2005,5,1483,2,86,1288.2493375126646,54453.0
0,1,8,2021,5,229,1,825,907.9202768874502,8000.0
26,0,8,2022,5,1227,2,21,1164.1564276958677,113583.0
6,1,3,2019,5,996,0,394,1017.8760197630929,14750.0
0,0,9,1999,5,904,0,177,1075.2100856911068,65700.0
17,0,7,2019,5,1374,2,255,1520.0,120185.0
2,0,7,2015,5,1475,2,314,1288.2493375126646,77392.0
6,0,9,2001,5,243,0,719,855.2985999398212,10500.0
26,0,9,2020,5,1229,2,211,1164.1564276958677,121367.0
8,1,5,2016,5,1161,2,243,1219.2206929316628,58883.0
1,0,8,1953,5,1312,1,424,1164.1564276958677,42943.0
23,0,8,2021,5,1348,2,86,1385.4423602330987,52337.0
4,0,5,2021,5,1130,0,825,1320.2543126711105,115000.0
6,0,8,2007,0,1001,0,406,962.1127501618741,16409.0
20,0,5,2020,4,1123,2,825,1134.1149479459152,96825.0
23,0,5,2019,3,1674,2,706,1104.4661672776617,41500.0
4,0,5,2023,3,1496,2,149,1398.6684653047118,150219.0
17,0,8,2023,5,1401,2,154,1520.0,114500.0
6,0,8,2023,3,1454,2,825,1385.4423602330987,84000.0
17,0,5,2008,5,1404,2,128,1520.0,99107.0
20,0,8,2020,5,1295,3,251,1194.5906065275187,64000.0
17,0,5,2024,3,1631,2,507,973.1397403759745,99664.0
1,0,9,2005,5,1100,2,733,1194.5906065275187,37500.0
2,0,7,2010,5,1476,2,814,1288.2493375126646,82999.0
17,0,5,2022,4,1523,2,745,1288.2493375126646,128250.0
0,1,9,1982,5,480,0,646,660.0,81784.0
17,0,5,2014,5,1519,2,461,1559.25,156986.0
1,0,7,2024,4,657,2,507,1134.1149479459152,46770.0
6,1,9,1945,1,1701,0,277,754.7676350249478,6785.0
17,2,5,2013,5,1581,2,424,804.247719318987,38419.0
4,0,8,2023,5,1149,2,683,1398.6684653047118,78500.0
10,2,9,1985,5,659,0,157,1017.8760197630929,17816.0
12,1,8,1959,5,1006,0,733,1419.0,21888.0
12,1,5,2020,4,1603,2,86,688.1344548423084,106011.0
1,0,5,2020,5,1324,2,531,1134.1149479459152,65950.0
17,0,7,2009,5,1393,2,659,1520.0,130332.0
6,0,4,1970,1,1115,2,396,1134.1149479459152,32123.0
4,0,7,2021,4,1138,2,198,1256.6370614359173,77838.0
27,0,3,2024,4,1461,2,745,1225.4174844408687,107904.0
11,2,9,1997,1,541,1,464,415.4756284372501,10729.0
6,1,5,2021,1,1005,0,254,1134.1149479459152,15592.0
0,1,9,2000,5,477,0,394,525.0,9152.0
6,1,5,2022,4,1560,2,485,1194.5906065275187,34095.0
9,0,8,2023,5,1167,0,247,1194.5906065275187,70396.0
1,0,8,2020,4,1318,2,825,1164.1564276958677,55510.0
6,1,9,2006,5,518,2,201,490.8738521234052,10021.0
17,0,7,2007,4,1392,2,590,1256.6370614359173,111350.0
1,0,8,2023,5,1106,2,840,1194.5906065275187,44950.0
17,0,5,2016,5,1403,2,825,1520.0,124000.0
6,0,8,2000,5,546,0,796,660.519855417254,13000.0
