name,Year of production,Condition,Reference number,Scope of delivery,Location,Case area(mm2),price($),Case material_Aluminum,Case material_Gold/Steel,Case material_Palladium,Case material_Platinum,Case material_Red gold,Case material_Rose gold,Case material_Silver,Case material_Steel,Case material_White gold,Case material_Yellow gold,Movement_Automatic,Movement_Manual winding,Movement_Quartz
25,2003,6,282,2,49,756.0,15033.0,False,False,False,False,False,False,False,True,False,False,False,False,True
12,1998,5,31,2,247,,23895.0,False,False,False,False,False,False,False,False,False,True,False,True,False
24,2017,3,639,2,177,,54342.0,False,False,False,False,False,False,False,False,True,False,True,False,False
18,2023,6,681,2,228,,155850.0,False,False,False,False,False,True,False,False,False,False,True,False,False
6,2024,3,697,2,80,,37829.0,False,False,False,False,False,False,False,False,True,False,True,False,False
21,2022,1,768,2,175,,68724.0,False,False,False,False,False,False,False,False,True,False,True,False,False
1,2023,1,300,2,259,,38043.0,False,False,False,False,False,False,False,False,False,True,True,False,False
27,2015,3,372,2,259,,120000.0,False,False,False,False,False,False,False,False,True,False,True,False,False
1,2014,1,544,3,259,,37829.0,False,False,False,False,False,True,False,False,False,False,True,False,False
6,2021,6,425,0,66,,88081.0,False,False,False,True,False,False,False,False,False,False,True,False,False
25,2015,6,293,0,4,,11637.0,False,False,False,False,False,False,False,True,False,False,False,False,True
1,2012,6,316,2,70,756.0,45447.0,False,False,False,False,False,False,False,False,True,False,True,False,False
26,2015,6,681,0,28,,10913.0,False,False,False,False,False,False,False,False,False,True,False,True,False
27,2022,3,565,2,259,,68266.0,False,False,False,True,False,False,False,False,False,False,True,False,False
4,2005,6,385,2,259,,51903.0,False,False,False,False,False,False,False,True,False,False,True,False,False
0,1935,6,324,1,28,,13340.0,False,False,False,False,True,False,False,False,False,False,False,True,False
6,2008,3,311,2,78,,74081.0,False,False,False,False,False,False,False,False,True,False,True,False,False
4,2016,6,424,2,259,,50077.0,False,False,False,False,False,False,False,True,False,False,True,False,False
4,2023,3,521,2,159,,93873.0,False,False,False,False,False,False,False,True,False,False,True,False,False
1,2022,6,539,2,233,,58000.0,False,False,False,False,False,True,False,False,False,False,True,False,False
4,2024,3,631,2,247,,164000.0,False,False,False,False,False,True,False,False,False,False,True,False,False
0,1989,6,800,0,173,,10219.0,False,False,False,False,False,False,False,False,False,True,False,False,True
18,2022,6,636,2,228,1526.0,106497.0,False,False,False,False,False,True,False,False,False,False,True,False,False
26,2008,6,800,0,222,815.0,8500.0,False,False,False,False,False,False,False,False,False,True,False,True,False
4,2022,5,497,2,247,,84995.0,False,False,False,False,False,False,False,False,True,False,True,False,False
6,2023,5,654,2,17,,81290.0,False,False,False,False,False,False,False,False,True,False,True,False,False
18,2023,5,680,2,219,1526.0,169995.0,False,False,False,False,False,True,False,False,False,False,True,False,False
6,2007,6,526,2,118,,17806.0,False,False,False,False,False,False,False,False,True,False,False,True,False
4,2019,5,544,2,247,1098.0,118690.0,False,False,False,False,False,True,False,False,False,False,True,False,False
9,1996,6,421,3,80,,30211.0,False,False,False,False,False,False,False,False,False,True,True,False,False
18,2009,3,416,2,247,,152950.0,False,False,False,False,False,False,False,True,False,False,True,False,False
27,2019,3,745,2,247,,49500.0,False,False,False,False,False,False,False,False,True,False,True,False,False
2,1952,6,667,0,259,448.0,124941.0,False,False,False,True,False,False,False,False,False,False,True,False,False
6,2005,6,462,0,259,,19933.0,False,False,False,False,False,False,False,False,False,True,False,True,False
4,2000,1,385,2,175,,45065.0,False,False,False,False,False,False,False,True,False,False,True,False,False
18,2022,5,636,2,247,1526.0,124750.0,False,False,False,False,False,True,False,False,False,False,True,False,False
