name,Movement,Case material,Year of production,Condition,Reference number,Scope of delivery,Location,Case area(mm2),price($)
27,0,8,2004,6,1176,0,937,1075.2100856911068,34750.0
6,1,9,1995,6,214,0,937,706.8583470577034,6500.0
6,1,8,2021,6,1833,2,937,1194.5906065275187,27695.0
18,0,7,2018,6,1918,2,937,973.1397403759745,54000.0
11,1,8,1980,1,445,0,789,864.0,12500.0
18,0,7,2009,6,1624,2,892,1520.0,98750.0
6,0,8,2007,5,1809,2,976,1075.2100856911068,28250.0
4,2,7,2023,3,1481,2,937,1182.3698111050544,55000.0
6,1,9,1960,1,213,0,851,855.2985999398212,6000.0
6,1,5,1950,6,29,1,884,962.1127501618741,8400.0
6,2,9,1979,1,367,0,937,855.2985999398212,12999.0
6,0,9,1995,6,859,3,831,907.9202768874502,18450.0
2,0,5,2022,6,1714,1,937,1385.4423602330987,55500.0
4,0,5,2010,6,1372,2,924,1256.6370614359173,68445.0
18,2,7,2001,6,616,2,845,572.5552611167398,20800.0
18,0,7,1990,1,400,2,892,1075.2100856911068,59950.0
24,0,8,2014,1,1594,2,976,1385.4423602330987,38500.0
4,0,7,2022,5,1369,2,845,1256.6370614359173,59800.0
6,1,8,1960,1,125,0,937,855.2985999398212,9250.0
18,0,7,2021,6,1682,2,852,1288.2493375126646,108575.0
6,1,8,2022,6,5,2,905,1194.5906065275187,28500.0
4,0,7,2018,6,1349,2,845,1307.4051987179282,99795.0
18,0,7,2000,6,395,0,845,1075.2100856911068,41000.0
18,2,7,2023,6,616,2,845,572.5552611167398,21800.0
18,0,8,2022,5,1703,2,892,1320.2543126711105,148900.0
2,0,3,2018,6,1709,2,852,1385.4423602330987,69995.0
18,0,5,2018,6,1633,2,937,1256.6370614359173,152000.0
6,1,9,1953,1,85,3,893,754.7676350249478,10999.0
4,2,7,2023,6,825,0,870,2042.820622996763,18433.0
6,0,8,2000,6,674,0,905,660.519855417254,13000.0
6,1,8,2022,6,1833,2,881,1194.5906065275187,27900.0
6,0,9,1996,6,923,2,831,1017.8760197630929,21900.0
2,0,5,2022,3,1714,2,937,1385.4423602330987,78000.0
12,0,9,1919,1,1789,0,937,936.0,32000.0
25,2,7,2014,6,754,1,812,750.0,8300.0
6,1,9,1985,6,168,0,65,490.8738521234052,4892.0
18,2,8,2016,5,1864,2,939,1288.2493375126646,35450.0
18,2,1,2013,6,610,0,864,783.0,16500.0
8,1,9,1945,6,2,0,896,240.0,3300.0
6,0,9,1950,6,112,2,811,1134.1149479459152,34995.0
6,1,9,1999,6,482,2,831,907.9202768874502,13800.0
6,0,7,2022,5,1435,2,937,1256.6370614359173,40995.0
6,1,9,1960,1,137,2,962,1385.4423602330987,5600.0
18,0,7,2012,6,1626,2,852,1520.0,89875.0
27,0,5,2016,6,1267,2,937,1225.4174844408687,119900.0
18,0,5,2022,3,1795,2,845,1288.2493375126646,129500.0
12,1,5,1906,6,753,3,789,2463.0086404143976,11000.0
1,0,9,2023,6,944,1,964,1075.2100856911068,22950.0
0,0,8,2002,1,931,2,905,1017.8760197630929,20000.0
4,0,7,2013,6,1369,1,920,1256.6370614359173,47000.0
18,0,7,2015,6,1624,2,937,1520.0,95000.0
18,2,7,2020,6,616,2,845,572.5552611167398,24800.0
6,1,9,1987,6,488,2,839,907.9202768874502,18400.0
6,1,9,2024,5,1402,1,849,1075.2100856911068,19500.0
11,0,8,1997,6,912,0,907,1116.0,22000.0
18,0,8,2020,6,1653,0,937,1256.6370614359173,70000.0
0,1,9,1891,1,2105,0,831,1256.6370614359173,7800.0
4,0,5,2018,3,1353,2,937,1307.4051987179282,98000.0
12,0,9,1985,6,2108,2,871,899.0,14990.0
4,0,8,2022,5,1375,2,937,1398.6684653047118,84995.0
18,0,7,2011,6,1645,2,923,1256.6370614359173,97000.0
18,0,7,2018,6,1624,2,937,1256.6370614359173,111399.0
4,2,9,2021,6,826,1,937,615.7521601035994,30000.0
6,0,5,2022,6,1448,0,810,1194.5906065275187,29900.0
4,0,7,2022,6,1349,2,937,1307.4051987179282,78775.0
4,0,7,2023,5,1758,2,838,1398.6684653047118,154995.0
18,0,5,2015,6,1633,2,984,1256.6370614359173,165000.0
13,0,8,2017,6,1594,2,937,1385.4423602330987,38500.0
4,0,7,2017,6,1360,2,940,1256.6370614359173,51500.0
24,0,8,2018,1,1594,2,828,1385.4423602330987,40000.0
0,0,3,1930,6,1395,0,907,1520.53084433746,15000.0
27,0,3,2022,6,1453,2,840,1164.1564276958677,58000.0
18,0,7,1993,6,619,1,849,1320.2543126711105,19500.0
4,0,7,2014,1,1369,2,937,1256.6370614359173,48500.0
18,0,7,2016,6,1624,2,937,1520.0,108000.0
18,0,7,2010,1,1685,2,870,1288.2493375126646,68750.0
0,1,9,1910,1,2002,2,514,2123.7166338267,15700.0
6,0,9,2006,6,240,2,515,855.2985999398212,7122.0
4,0,5,2009,1,1372,2,937,1256.6370614359173,68995.0
6,1,8,1982,6,487,0,923,855.2985999398212,9530.0
11,1,9,1970,6,264,1,810,864.0,10990.0
6,1,9,1962,6,2010,1,808,754.7676350249478,12995.0
19,2,1,2000,1,696,0,976,572.5552611167398,5485.0
4,0,7,2015,6,1369,2,852,1256.6370614359173,54875.0
0,1,9,1960,6,1994,2,845,973.1397403759745,8500.0
