name,Movement,Case material,Year of production,Condition,Reference number,Scope of delivery,Location,Case area(mm2),price($)
Patek Philippe World Time,Automatic,White gold,2004,Very good,5110,"No original box, no original papers", New York,1075.2100856911068,34750.0
Patek Philippe Calatrava,Manual winding,Yellow gold,1995,Very good,3470,"No original box, no original papers", New York,706.8583470577034,6500.0
Patek Philippe Calatrava,Manual winding,White gold,2021,Very good,6119,"Original box, original papers", New York,1194.5906065275187,27695.0
Patek Philippe Nautilus,Automatic,Steel,2018,Very good,7118,"Original box, original papers", New York,973.1397403759745,54000.0
Patek Philippe Golden Ellipse,Manual winding,White gold,1980,Good,3848,"No original box, no original papers", California,864.0,12500.0
Patek Philippe Nautilus,Automatic,Steel,2009,Very good,5711,"Original box, original papers", Massachusetts,1520.0,98750.0
Patek Philippe Calatrava,Automatic,White gold,2007,Unworn,6000,"Original box, original papers", Texas,1075.2100856911068,28250.0
Patek Philippe Aquanaut,Quartz,Steel,2023,New,5267,"Original box, original papers", New York,1182.3698111050544,55000.0
Patek Philippe Calatrava,Manual winding,Yellow gold,1960,Good,3468,"No original box, no original papers", Florida,855.2985999398212,6000.0
Patek Philippe Calatrava,Manual winding,Rose gold,1950,Very good,1513,"Original box, no original papers", Illinois,962.1127501618741,8400.0
Patek Philippe Calatrava,Quartz,Yellow gold,1979,Good,3744,"No original box, no original papers", New York,855.2985999398212,12999.0
Patek Philippe Calatrava,Automatic,Yellow gold,1995,Very good,5000,"Original papers, no original box", Florida,907.9202768874502,18450.0
Patek Philippe Annual Calendar Chronograph,Automatic,Rose gold,2022,Very good,5905,"Original box, no original papers", New York,1385.4423602330987,55500.0
Patek Philippe Aquanaut,Automatic,Rose gold,2010,Very good,5167,"Original box, original papers", New York,1256.6370614359173,68445.0
Patek Philippe Nautilus,Quartz,Steel,2016,Very good,4700,"Original box, original papers", Florida,572.5552611167398,20800.0
Patek Philippe Nautilus,Automatic,Steel,1990,Good,3800,"Original box, original papers", Massachusetts,1075.2100856911068,59950.0
Patek Philippe Travel Time,Automatic,White gold,2014,Good,5524,"Original box, original papers", Texas,1385.4423602330987,38500.0
Patek Philippe Aquanaut,Automatic,Steel,2022,Unworn,5167,"Original box, original papers", Florida,1256.6370614359173,59800.0
Patek Philippe Calatrava,Manual winding,White gold,1960,Good,2568,"No original box, no original papers", New York,855.2985999398212,9250.0
Patek Philippe Nautilus,Automatic,Steel,2021,Very good,5726,"Original box, original papers", Florida,1288.2493375126646,108575.0
Patek Philippe Calatrava,Automatic,White gold,2022,Very good,110.,"Original box, original papers", New Hampshire,1194.5906065275187,28500.0
Patek Philippe Aquanaut,Automatic,Steel,2018,Very good,5164,"Original box, original papers", Florida,1307.4051987179282,99795.0
Patek Philippe Nautilus,Automatic,Steel,2000,Very good,3800,"No original box, no original papers", Florida,1075.2100856911068,41000.0
Patek Philippe Nautilus,Quartz,Steel,2019,Very good,4700,"Original box, original papers", Florida,572.5552611167398,21800.0
Patek Philippe Nautilus,Automatic,White gold,2022,Unworn,5811,"Original box, original papers", Massachusetts,1320.2543126711105,148900.0
Patek Philippe Annual Calendar Chronograph,Automatic,Platinum,2018,Very good,5905,"Original box, original papers", Florida,1385.4423602330987,69995.0
Patek Philippe Nautilus,Automatic,Rose gold,2018,Very good,5711,"Original box, original papers", New York,1256.6370614359173,152000.0
Patek Philippe Calatrava,Manual winding,Yellow gold,1953,Good,2457,"Original papers, no original box", Massachusetts,754.7676350249478,10999.0
