name,Movement,Case material,Year of production,Condition,Reference number,Scope of delivery,Location,Case area(mm2),price($)
12,1,7,2010,5,433,2,164,706.8583470577034,12238.0
17,0,5,2020,3,577,2,824,973.1397403759745,81860.0
20,0,6,2023,3,483,2,747,1339.6457933253935,121745.0
2,0,6,2020,4,545,2,824,1288.2493375126646,61445.0
6,0,6,2024,5,439,1,85,1075.2100856911068,21046.0
21,1,3,2022,4,470,2,195,1256.6370614359173,300650.0
12,0,3,1952,5,360,2,85,1134.1149479459152,54008.0
2,0,3,2022,3,538,2,824,1385.4423602330987,99999.0
6,0,7,1965,5,132,0,554,962.1127501618741,10214.0
17,0,3,2016,5,525,2,645,1256.6370614359173,215048.0
6,0,6,2023,4,478,2,645,1256.6370614359173,45551.0
17,0,6,2023,3,536,2,842,1320.2543126711105,165000.0
9,1,6,2022,5,465,2,101,1320.2543126711105,72270.0
4,0,3,2024,3,411,2,702,995.3822163633902,179141.0
24,2,5,2024,5,347,3,715,750.0,9300.0
26,0,3,2016,5,447,2,824,1225.4174844408687,119900.0
4,1,5,2010,5,420,2,348,1075.2100856911068,36747.0
17,0,7,1977,5,201,0,322,1385.4423602330987,206009.0
6,1,7,1955,5,17,0,498,962.1127501618741,15590.0
6,1,3,2020,4,468,2,824,1075.2100856911068,28820.0
1,0,3,2020,4,505,2,506,1164.1564276958677,64586.0
24,2,3,1950,1,632,0,824,346.3605900582747,19995.0
17,0,6,2024,3,552,2,824,1288.2493375126646,235000.0
13,0,1,2022,4,513,2,824,1398.6684653047118,175000.0
4,0,6,2021,4,547,2,227,1385.4423602330987,133626.0
6,1,6,2012,5,468,2,524,1075.2100856911068,27789.0
8,1,3,2011,5,586,2,85,1134.1149479459152,62248.0
17,0,3,2023,4,552,2,506,1288.2493375126646,259459.0
1,0,6,2002,5,355,0,253,1134.1149479459152,42131.0
21,1,3,2024,3,488,2,33,1320.2543126711105,232734.0
17,0,5,2021,5,221,1,824,1075.2100856911068,48000.0
27,0,5,2023,5,542,2,544,1225.4174844408687,61965.0
24,2,3,2007,5,346,2,498,380.132711084365,20601.0
26,0,3,2001,5,434,2,453,1075.2100856911068,83517.0
2,0,3,2023,3,546,2,33,1288.2493375126646,188192.0
27,0,6,2015,1,541,2,395,1225.4174844408687,51790.0
2,0,1,2010,5,545,2,33,1320.2543126711105,70043.0
2,0,3,2000,3,538,2,744,1385.4423602330987,77499.0
