name,Movement,Case material,Year of production,Condition,Reference number,Scope of delivery,Location,Case diameter,price
Patek Philippe Gondolo,Manual winding,Yellow gold,2010,Very good,5109J-001,"Original box, original papers","Germany, Düsseldorf",30 mm,"$12,238"
Patek Philippe Nautilus,Automatic,Steel,2020,New,7118/1200A-011,"Original box, original papers","United States of America, New York, New York",35.2 mm,"$81,860"
Patek Philippe Perpetual Calendar,-,-,-,New,5236P,"Original box, original papers","United States of America, Florida, North Miami Beach",41.3 mm,"$121,745"
Patek Philippe Annual Calendar Chronograph,Automatic,White gold,2020,Unworn,5960/01G-001,"Original box, original papers","United States of America, New York, New York",40.5 mm,"$61,445"
Patek Philippe World Time,Automatic,Rose gold,-,New,7130R-014,"Original box, original papers","Switzerland, Geneva",36 mm,Price on request
Patek Philippe Calatrava,-,White gold,-,Very good,5117G,"Original box, no original papers","Czech Republic, Praha 1",37 mm,"$21,046"
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Rose gold,2022,Unworn,5204R-011,"Original box, original papers","Germany, Köln",40 mm,"$300,650"
Patek Philippe Gondolo,Automatic,Rose gold,-,Very good,4962/200R,"Original box, original papers","Czech Republic, Praha 1",-,"$54,008"
Patek Philippe Annual Calendar Chronograph,Automatic,Rose gold,2022,New,5905R-001,"Original box, original papers","United States of America, New York, New York",42 mm,"$99,999"
Patek Philippe Aquanaut,Manual winding,White gold,-,Unworn,5968G-010,"Original box, original papers","United States of America, New York, New York",42.2 mm,Price on request
Patek Philippe Calatrava,Automatic,Yellow gold,1965,Very good,3445-6,"No original box, no original papers","Switzerland, Lugano",35 mm,"$10,214"
Patek Philippe Nautilus,Automatic,Rose gold,2016,Very good,5711/1R-001,"Original box, original papers","United Kingdom, London",40 mm,"$215,048"
Patek Philippe Aquanaut,Automatic,Steel,2021,New,5167/1A-001,"Original box, original papers","United States of America, New York, New York",40 mm,Price on request
Patek Philippe Calatrava,Automatic,White gold,2023,Unworn,5226G-001,"Original box, original papers","United Kingdom, London",40 mm,"$45,551"
Patek Philippe Nautilus,Automatic,White gold,2023,New,5811/1G-001,"Original box, original papers","United States of America, Pennsylvania, Philadelphia",41 mm,"$165,000"
Patek Philippe Complications,Manual winding,White gold,2022,Very good,5172G-010,"Original box, original papers",France,41 mm,"$72,270"
Patek Philippe Aquanaut,Automatic,Rose gold,2024,New,5072R-001,"Original box, original papers","United States of America, California, Los Angeles",35.6 mm,"$179,141"
Patek Philippe Twenty~4,Quartz,Steel,-,Very good,4910/10A-011,"Original papers, no original box","United States of America, California, Santa Monica",25 x 30 mm,"$9,300"
Patek Philippe World Time,Automatic,Rose gold,2016,Very good,5131R-001,"Original box, original papers","United States of America, New York, New York",39.5 mm,"$119,900"
Patek Philippe Aquanaut,-,Steel,2010,Very good,5087/1A-010,"Original box, original papers","Italy, Riccione",-,"$36,747"
Patek Philippe Nautilus,Automatic,Yellow gold,1977,Very good,3700,"No original box, no original papers","Italy, MILANO",42 mm,"$206,009"
Patek Philippe Nautilus,Automatic,Rose gold,2018,Very good,5711/1R-001,"Original box, original papers","Italy, Catania",40 mm,Price on request
